name,cmd,target,params,send
boiler(cmd=30),30,boiler,$cmd=30;$target=boiler;#mode=1,<start=0133&0>$version=2.0$cmd=30$copy=81-2426$danji=9258$dongho=409&906$target=boiler#mode=1#no=4#onoff=0#settemp=5#curtemp=28#dev=2
locationinformation(cmd=11),11,locationinformation,$cmd=11;$target=locationinformation,"<start=0207&0>$version=3.0$cmd=11$copy=59-1677$dongho=100&112$target=locationinformation#dongho=417&1604#no=1#camera=#location=C_47#locationfloor=B1#locationcode=0026,0264#time=20250709080001#carno=247µÎ5699"
gateway(cmd=11),11,gateway,$cmd=11;$target=gateway;#mode=1,<start=0317&0>$version=2.0$cmd=11$copy=50-1666$danji=9258$dongho=410&1802$target=gateway#dongho=410&1802#ip=10.110.18.2#status=0#curtime=20250709075956#hwversion=001D66161100#swversion=1.31.5.54&1.0.3&3.4.3&T#specversion=2.1.14#spectype=4AV-L123K_L1K#mode=1#mode_user=1#mode_method=11#alarm=0&20250709075956#rcare=off
gateway(cmd=10),10,gateway,$cmd=10;$target=gateway,<start=0061&0>$version=2.0$cmd=10$copy=50-1707$target=gateway
elevator(cmd=30),30,elevator,$cmd=30;$target=elevator;#mode=arrival,<start=0133&0>$version=2.0$copy=00-0000$cmd=30$dongho=100&701$target=elevator#mode=arrival#dongho=435&9011#no=1#direction=stop#flow=1
elevator(cmd=30),30,elevator,$cmd=30;$target=elevator;#mode=close,<start=0131&0>$version=2.0$copy=00-0000$cmd=30$dongho=100&701$target=elevator#mode=close#dongho=435&9011#no=1#direction=stop#flow=1
secsensor(cmd=30),30,secsensor,$cmd=30;$target=secsensor;#mode=1,<start=0141&0>$version=2.0$cmd=30$copy=45-3804$danji=9258$dongho=417&2602$target=secsensor#mode=1#no=2#onoff=1#alarm=0#zone=2#dongho=417&2602
light(cmd=30),30,light,$cmd=30;$target=light;#mode=sub,<start=0156&0>$version=2.0$cmd=30$copy=99-4768$danji=9258$dongho=425&1501$target=light#mode=sub#no=2#device_no=1#onoff=1#type=2#type_mode=-1#dimming=4#dev=2
elevator(cmd=31),31,elevator,$cmd=31;$target=elevator;#mode=arrival,<start=0168&1>$version=2.0$cmd=31$copy=00-1713$danji=9258$dongho=435&9011$target=elevator#mode=arrival#dongho=435&9011
elevator(cmd=31),31,elevator,$cmd=31;$target=elevator;#mode=close,<start=0168&1>$version=2.0$cmd=31$copy=55-1720$danji=9258$dongho=435&9011$target=elevator#mode=close#dongho=435&9011
elevator(cmd=30),30,elevator,$cmd=30;$target=elevator;#mode=location,<start=0159&0>$version=2.0$copy=00-0000$cmd=30$dongho=100&700$target=elevator#mode=location#dongho=418&403#no=1#direction=up#flow=1
elevator(cmd=31),31,elevator,$cmd=31;$target=elevator;#mode=location,<start=0117&0>$version=2.0$cmd=31$copy=00-1756$danji=9258$dongho=418&403$target=elevator#mode=location#dongho=418&403
standby(cmd=30),30,standby,$cmd=30;$target=standby;#mode=sub,<start=0793&0>$version=2.0$cmd=30$copy=06-9473$danji=9258$dongho=424&804$target=standby#mode=sub#no=1#device_no=1#power_values=0#power_unit=w#onoff=1#state=1#device_no=2#power_values=0#power_unit=w#onoff=1#state=1#device_no=3#power_values=0#power_unit=w#onoff=1#state=1
subphone(cmd=30),30,subphone,$cmd=30;$target=subphone,<start=0117&0>$version=2.0$cmd=30$copy=99-7963$danji=9258$dongho=424&1904$target=subphone#no=2#status=1
locationinformation(cmd=10),10,locationinformation,$cmd=10;$target=locationinformation,<start=0100&0>$version=2.0$cmd=10$copy=38-1509$danji=9258$dongho=409&1906$target=locationinformation
